Provinsi,Tahun,Produksi_Beras_Ton,Konsumsi_Total_Ton,harga_rata2beras_konsumen,Risk_Score_IKP,Kelompok_IKP,Kerentanan_Area,Surplus_Defisit_Ton,edr_kberas,Produksi_DagingSapi_Ton,Produksi_Jagung_Ton
Sumatera Barat,2022,879335.1864,676106.49,13196.0,79.45,6,Sangat Tahan,203228.69640000002,0.0,21514.66,569450.41
Sumatera Barat,2023,949076.519358,690082.6657142857,14857.583333333334,83.22,6,Sangat Tahan,258993.85364371433,0.0,31194.4,495223.45
Sumatera Barat,2024,868410.768786,699551.9442857142,15497.032258064517,84.32,6,Sangat Tahan,168858.8245002858,0.0,14901.15,518315.8
Sumatera Selatan,2021,1634074.1302379998,1131955.9264285713,10934.375,69.55,5,Tahan,502118.2038094285,0.0,13832.62,316505.64
Sumatera Selatan,2022,1776599.1738,1146001.2928571429,11019.958333333334,69.64,5,Tahan,630597.8809428571,0.0,15458.87,460321.16
Sumatera Selatan,2023,1813541.863584,1157452.0392857143,12587.625,73.82,5,Tahan,656089.8242982856,0.0,12171.5,284643.31
Sumatera Selatan,2024,1862605.3511339999,1169869.1492857144,13232.129032258064,74.07,5,Tahan,692736.2018482855,0.0,11810.74,338998.6
Sumatera Utara,2021,1283052.034902,1965603.9200000002,11815.583333333334,72.25,5,Tahan,-682551.885098,0.3472479262749944,13745.06,956938.92
Sumatera Utara,2022,1337111.4768,1989160.32,11912.5,71.22,5,Tahan,-652048.8432,0.3278010508474249,13859.09,1307477.02
Sumatera Utara,2023,1336400.95083,2024876.56,13295.5,75.97,6,Sangat Tahan,-688475.6091700001,0.3400086814032753,15902.8,1343290.59
Sumatera Utara,2024,1411561.3015019998,2051446.6000000003,14187.322580645161,77.49,6,Sangat Tahan,-639885.2984980005,0.31191906165044725,18245.02,1373900.0
